,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric
432,"frozenset({'Ticarcillin-clavulanic', 'Trimethoprim-Sulfamethoxazole'})","frozenset({'Cefazolin', 'Ticarcillin'})",0.11570247933884298,0.19008264462809918,0.11019283746556474,0.9523809523809523,5.0103519668737055,0.08819980420280946,17.008264462809898,0.9051401869158878
442,"frozenset({'Ticarcillin-clavulanic', 'Trimethoprim-Sulfamethoxazole', 'Oxacillin'})","frozenset({'Cefazolin', 'Ticarcillin'})",0.11019283746556474,0.19008264462809918,0.1046831955922865,0.95,4.997826086956521,0.08373744962775767,16.198347107438,0.8989734397914291
452,"frozenset({'Ticarcillin-clavulanic', 'Cefazolin', 'Erythromycin'})","frozenset({'Ticarcillin', 'Oxacillin'})",0.10192837465564739,0.24517906336088155,0.10192837465564739,1.0,4.078651685393258,0.07693767122767875,inf,0.8404907975460123
457,"frozenset({'Ticarcillin-clavulanic', 'Decade_2010-2020'})","frozenset({'Ticarcillin', 'Oxacillin'})",0.10743801652892562,0.24517906336088155,0.10743801652892562,1.0,4.078651685393258,0.08109646426701272,inf,0.8456790123456789
463,"frozenset({'Ticarcillin', 'Gram_ID_Positive', 'Oxacillin'})",frozenset({'Ticarcillin-clavulanic'}),0.11570247933884298,0.162534435261708,0.11019283746556474,0.9523809523809523,5.85956416464891,0.09138720032784646,17.586776859504113,0.9378504672897197
467,"frozenset({'Ticarcillin-clavulanic', 'Gram_ID_Positive'})","frozenset({'Cefazolin', 'Oxacillin'})",0.11294765840220386,0.22865013774104684,0.10743801652892562,0.9512195121951219,4.16015280634734,0.081612518877733,15.812672176308526,0.8563465519987259
470,"frozenset({'Ticarcillin', 'Cefazolin', 'Gram_ID_Positive'})",frozenset({'Ticarcillin-clavulanic'}),0.11019283746556474,0.162534435261708,0.10743801652892562,0.975,5.998728813559322,0.08952788592157487,33.49862258953165,0.9364928157497816
471,"frozenset({'Ticarcillin-clavulanic', 'Gram_ID_Positive'})","frozenset({'Cefazolin', 'Ticarcillin'})",0.11294765840220386,0.19008264462809918,0.10743801652892562,0.9512195121951219,5.00424178154825,0.08596862691528356,16.60330578512395,0.9020544672718586
475,"frozenset({'Gram_ID_Positive', 'Cefazolin', 'Ticarcillin', 'Oxacillin'})",frozenset({'Ticarcillin-clavulanic'}),0.10743801652892562,0.162534435261708,0.10743801652892562,1.0,6.1525423728813555,0.08997563918675865,inf,0.9382716049382714
476,"frozenset({'Gram_ID_Positive', 'Ticarcillin-clavulanic', 'Ticarcillin'})","frozenset({'Cefazolin', 'Oxacillin'})",0.11019283746556474,0.22865013774104684,0.10743801652892562,0.975,4.264156626506024,0.08224240906434746,30.8539944903581,0.8602841946495197
477,"frozenset({'Ticarcillin-clavulanic', 'Cefazolin', 'Gram_ID_Positive'})","frozenset({'Ticarcillin', 'Oxacillin'})",0.10743801652892562,0.24517906336088155,0.10743801652892562,1.0,4.078651685393258,0.08109646426701272,inf,0.8456790123456789
478,"frozenset({'Ticarcillin-clavulanic', 'Gram_ID_Positive', 'Oxacillin'})","frozenset({'Cefazolin', 'Ticarcillin'})",0.11019283746556474,0.19008264462809918,0.10743801652892562,0.975,5.129347826086956,0.08649227056439679,32.396694214876,0.9047392236246725
479,"frozenset({'Gram_ID_Positive', 'Cefazolin', 'Ticarcillin'})","frozenset({'Ticarcillin-clavulanic', 'Oxacillin'})",0.11019283746556474,0.15426997245179064,0.10743801652892562,0.975,6.320089285714285,0.09043857052872831,33.82920110192835,0.9460188933873144
480,"frozenset({'Ticarcillin-clavulanic', 'Gram_ID_Positive'})","frozenset({'Cefazolin', 'Ticarcillin', 'Oxacillin'})",0.11294765840220386,0.1790633608815427,0.10743801652892562,0.9512195121951219,5.312195121951219,0.08721322921172658,16.82920110192836,0.9151138716356108
